Valor Digitado,Hora de Envio,Intervalo 10min,Intervalo 30min,Intervalo 1h,Turno,,horario,horario2,Media1h,ocorrencia,Horario Turno,Media Turno,teste
7,2015-12-11 00:19:11,00:10:00,,00:00:00,Madrugada,,00:00,01:00,7,7-7,Manhã,,7
7,2015-12-12 00:45:17,00:40:00,,00:00:00,Madrugada,,01:00,02:00,5,3-7,Tarde,,8
3,2015-12-11 01:19:00,01:10:00,,01:00:00,Madrugada,,02:00,03:00,4,7-6-0,Noite,,9
7,2015-12-12 01:36:02,01:30:00,,01:00:00,Madrugada,,03:00,04:00,5,1-8-3-7-5-8-5-7-5-3-1-5-6-7-7-7-7-3-0-7-8,,,0
0,2015-12-11 02:40:02,02:40:00,,02:00:00,Madrugada,,04:00,05:00,5,1-5-7-5-7-3-5-5-6-5-8-7-4-7-7-0-2-8-9-9-1-8-7-7,,,0
7,2015-12-11 02:52:41,02:50:00,,02:00:00,Madrugada,,05:00,06:00,5,8-5-7-0-9,,,0
6,2015-12-17 02:56:27,02:50:00,,02:00:00,Madrugada,,06:00,08:00,5,3-7,,,0
1,2015-12-10 03:22:54,03:20:00,,03:00:00,Madrugada,,08:00,09:00,6,5-7,,,0
8,2015-12-10 03:37:47,03:30:00,,03:00:00,Madrugada,,09:00,10:00,7,9-7-7-7-7-8-9-2-8-8-9,,,0
3,2015-12-10 03:38:01,03:30:00,,03:00:00,Madrugada,,10:00,11:00,5,7-3-5-2-8-3-4-7-7-7-6-3-4-5-7,,,0
7,2015-12-10 03:38:24,03:30:00,,03:00:00,Madrugada,,11:00,12:00,6,7-8-4-7-7-7-8-7-5-7-7-6-9-8-7,,,0
5,2015-12-10 03:38:59,03:40:00,,03:00:00,Madrugada,,12:00,13:00,5,0-5-8-6-6-6-6-7-4-6-8-8-2-5-8-7-7-6-7-2,,,0
8,2015-12-10 03:39:50,03:40:00,,03:00:00,Madrugada,,13:00,14:00,5,8-9-7-2-6-8-4-3-6-5-7-8-3-4-9-8-8,,,0
5,2015-12-10 03:40:31,03:40:00,,03:00:00,Madrugada,,14:00,15:00,5,0-9-0-8-8-8-7-7-6-7-7-8-5-3-7-2-6-7-2-3-7-8-5-7-5-7-6,,,0
7,2015-12-10 03:42:04,03:40:00,,03:00:00,Madrugada,,15:00,16:00,6,8-7-9-5-4-9-8-9-3-3,,,0
5,2015-12-10 03:43:19,03:40:00,,03:00:00,Madrugada,,16:00,17:00,6,7-6-8-6-7-4-6,,,0
3,2015-12-10 03:44:31,03:40:00,,03:00:00,Madrugada,,17:00,18:00,6,6-6-5-7,,,0
1,2015-12-10 03:47:25,03:40:00,,03:00:00,Madrugada,,18:00,19:00,4,4-8-4-3-5-6-5-8-0-4,,,0
5,2015-12-10 03:48:14,03:40:00,,03:00:00,Madrugada,,19:00,20:00,6,8-5-8-7-7-7-5-4-3-7-4-9-6-9-7-5-8-5-6-6,,,0
